#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years)
,Duel With The Devil,Paul Collins,American History,Yes,Yes,English,218,Chicago,Yes!,Rec,Yes,!,"July 1, 2019",,-43647,-119.5808219
,Cahokia,Timothy Pauketat,Native Americans,Yes,Yes,English,173,Chicago,Yes,Rec,Yes,!,"July 1, 2019","November 30, 2020",518,1.419178082
,From Here to Eternity,Caitlin Doughty,Death,Yes,Yes,English,236,Chicago,Yes!,Rec,Yes,!,"July 20, 2019",,-43666,-119.6328767
,A Thousand Miles To Freedom,Eunsun Kim & Sebastien Falletti,Memior,Yes,Yes,English,228,Chicago,Yes,Rec,Yes,!,"July 20, 2019","August 31, 2019",42,0.1150684932
,Morgue,Dr. Vincent Di Maio & Ron Franscell,Death,Yes,Yes,English,256,Chicago,Yes,Rec,Yes,!,"October 17, 2019","January 31, 2020",106,0.2904109589
,Black Elk Speaks,John G. Neihardt,Native Americans,Yes,Yes,English,274,Chicago,Yes,Rec,Yes,!,"October 17, 2019","November 30, 2019",44,0.1205479452
,If The Walls Could Talk,Lucy Worsley,History,Yes,Yes,English,325,Chicago,Yes,Rec,Yes,!,"October 17, 2019",,-43755,-119.8767123
,The Road To Dawn,Jared A. Brock,Civil War,Yes,Yes,English,264,Chicago,Yes,Rec,Yes,!,"November 15, 2019","November 30, 2019",15,0.04109589041
,The Education Of An Idealist,Samantha Power,Memior,Yes,Yes,English,552,Chicago,Yes,Rec,Yes,!,"January 17, 2020","January 17, 2020",0,0
,The Outlaw Ocean,Ian Urbina,History,Yes,Yes,English,408,Chicago,Yes,Rec,Yes,!,"January 31, 2020","January 31, 2020",0,0
,The Rape Of Nanking,Iris Chang,China,Yes,Yes,English,290,Chicago,Yes!,Rec,Yes,!,"September 19, 2020","September 19, 2020",0,0
,The Hate You Give,Angie Thomas,Fiction,Yes,Yes,English,444,Chicago,Yes,Yes,Yes,!,"February 21, 2021",,-44248,-121.2273973
,Butterfly Swords,Jeannie Lin,Fiction,Yes,Yes,English,282,Chicago,Yes,Rec,Yes,!,"September 1, 2021","January 21, 2022",142,0.3890410959
,Stronger Than A Bronze Dragon,Mary Fan,Fiction,Yes,Yes,English,372,Chicago,Yes,Rec,Yes,!,"September 1, 2021",,-44440,-121.7534247
,A Furious Sky,Eric Jay Dolon,History,Yes,Yes,English,305,Chicago,Yes,Rec,Yes,!,"December 1, 2021","January 13, 2022",43,0.1178082192
,Fencing With The King,Diana Abu-Jaber,Fiction,Yes,Yes,English,298,Chicago,Yes,Yes,Yes,!,"March 10, 2022","April 26, 2022",47,0.1287671233
,Stranger In Shogun's City,Amy Stanley,History,Yes,Yes,English,252,Chicago,Yes,Rec,Yes,!,,,0,0
,The Super Age,Bradley Schurman,History,Yes,Yes,English,211,Chicago,Yes!,Rec,Rec,!,,,0,0
,Come From Away: Welcome To The Rock,Irene Sankoff & David Hein,Theatre,Yes,Yes,English,223,Chicago,Yes,Rec,Yes,!,,"January 21, 2022",44582,122.1424658
,China: A History,John Keay,China,Yes,Yes,English,535,Chicago,Yes,Rec,Yes,!,,,0,0
,Madhouse At The End Of The Earth,Julian Sancton,History,Yes,Yes,English,307,Chicago,Yes,Rec,Yes,!,,,0,0
,Bullets And Opium,Liao Yiwu,China,Yes,Yes,English,254,Chicago,Yes,Rec,Yes,!,,,0,0
,Sparrows In The Wind,Gail Carson Lrvine,Fiction,No,Yes,English,330,Boston,Yes,Yes,Rec,!,"October 31, 2022",N/A,N/A,N/A
,Sugar,James Walvin,History,No,Yes,English,291,Boston,Yes,Rec,Rec,!,"October 31, 2022",N/A,N/A,N/A
,World Religions,Simon Adams,Religion,No,No,English,61,Chicago,No,No,No,No,"January 1, 2010",N/A,N/A,N/A
,Lincoln in 3D,Bob Zeller & John J. Richter,Civil War,No,No,English,209,Chicago,No,No,No,No,"October 18, 2010",N/A,N/A,N/A
,The Civil War Experiance,Jay Wertz,Civil War,No,No,English,63,Chicago,No,No,No,No,"October 18, 2010",N/A,N/A,N/A
,Witness In Palestine,Anna Baltzer,Modern History,No,No,English,365,Chicago,No,No,No,No,"January 1, 2014",N/A,N/A,N/A
,The Weaker Vessel,Antonia Fraser,Gender Studies,No,No,English,470,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,All Madrid,Fisa Escudo De Oro,Travel,No,No,English,115,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,All Seville,Fisa Escudo De Oro,Travel,No,No,English,115,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,The Royal Palace Madrid,Jean-Francois Lasnier,Travel,No,No,English,62,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
1,The Collection,"Manuel J. Borja-Villel, Jesus Carrillo, & Rosario Peiro",Art,No,No,English,229,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
2,The Collection,"Manuel J. Borja-Villel, Jesus Carrillo, & Rosario Peiro",Art,No,No,English,255,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,Museo Arqueologico Nacional,"Minestry Of Education, Culutre, & Sports",Art,No,No,English,138,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,Partir Para Contar,Muhmud Traore & Bruno Le Dantec,Memior,No,No,Spanish,276,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,Museo Thyssen - Bornemisza,Paul Edson & Araceli Montero,Art,No,No,English,73,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,The Prado Guide,"Philip Sutton, Laura Suffield, & Jenny Dodman",Art,No,No,English,463,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,Kings And Queens Of Spain,Pilar Ramos Vincent,Travel,No,No,English,110,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,Visitor's Guide,Trinidad De Antonio & Jose Riello,Art,No,No,English,50,Chicago,No,No,No,No,"July 20, 2015",N/A,N/A,N/A
,Ellis Island Offical Souvenir Guide,B. Colin Hamblin,History,No,No,English,36,Chicago,No,No,No,No,"January 1, 2016",N/A,N/A,N/A
,Aztec And Maya,Charels Philips,Native Americans,No,No,English,501,Boston,No,No,No,No,"January 1, 2016",N/A,N/A,N/A
,Walking Cincinnati,Danny Korman & Katie Meyer,Travel,No,No,English,245,Chicago,No,No,No,No,"January 1, 2016",N/A,N/A,N/A
,Shakespear Notebooks,"James Goss, Jonathan Morris, Julian Richards, Justin Richards, & Matthew Sweet",TV and movie,No,No,English,210,Boston,No,No,No,No,"January 1, 2016",N/A,N/A,N/A
,Princess,Jean P. Sasson,Gender Studies,No,Yes,English,299,Chicago,Yes,No,No,No,"January 1, 2016",N/A,N/A,N/A
,A Brief History Of Time Lords,Matt Kemp & Justin Richards,TV and movie,No,No,English,46,Boston,No,No,No,No,"January 1, 2016",N/A,N/A,N/A
,Pharaoh's People,T.G.H. James,Egyptian Studies,No,No,English,267,Chicago,No,No,No,No,"January 1, 2016",N/A,N/A,N/A
1,My Family And Other Animals,Gerald Durrell,Memior,No,Yes,English,273,Chicago,Yes,No,No,No,"January 1, 2018",N/A,N/A,N/A
,Sherlock Files,Guy Adams,TV and movie,No,No,English,159,Chicago,No,No,No,No,"January 1, 2018",N/A,N/A,N/A
,The Book Of Mormon,Joseph Smith,Religion,No,Yes,English,531,Chicago,Yes,No,No,No,"March 3, 2018",N/A,N/A,N/A
,Nisa,Marjorie Shostak,Anthropology,No,No,English,371,Chicago,No,No,No,No,"March 1, 2019",N/A,N/A,N/A
,Indians Of South America,Paul Radin,Native Americans,No,No,English,306,Chicago,No,No,No,No,"March 1, 2019",N/A,N/A,N/A
,Empresses Of China's Forbidden City,?,China,No,No,English,,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Smithsonian Civil War,?,Civil War,No,No,English,,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,The War On Sex,David M. Halperin & Trevor Hoppe,Gender Studies,No,No,English,464,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Anthropology Of Everyday Life,Edward T. Hall,Anthropology,No,No,English,261,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,"Lucy's Bones, Sacred Stones, & Einstein's Brain",Harvey Rachlin,Anthropology,No,No,English,353,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Myths And Legends,Jake Jackson,Religion,No,No,English,484,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,A History Of God,Karen Armstrong,Religion,No,No,English,399,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Great American Short Stories,Many,Classic,No,Yes,English,782,Chicago,Yes,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Male And Female,Margaret Mead,Anthropology,No,No,English,360,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Brilliant Blunders,Mario Livio,Science,No,Yes,English,271,Chicago,Yes,No,No,No,"July 1, 2019",N/A,N/A,N/A
,"The Aztec, Inca And Maya",Martin J. Dougherty,South American History,No,No,English,217,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Live Long And Evolve,Mohamed A.F. Noor,Star Trek,No,Yes,English,155,Chicago,Yes,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Evita,Nicholas Fraser & Marysa Navarro,South American History,No,Yes,English,198,Chicago,Yes,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Chasing The Sun,Richard Cohen,Science,No,No,English,511,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Native American Almanac,Yvonne Wakim Dennis & Arlene Hirschfelder & Shannon Rothenberger Flynn,Native Americans,No,No,English,605,Chicago,No,No,No,No,"July 1, 2019",N/A,N/A,N/A
,Sitting Bull,Robert M. Utley,Native Americans,No,No,English,314,Chicago,No,No,No,No,"July 20, 2019",N/A,N/A,N/A
,A Brief History Of The Human Race,Michael Cook,History,No,No,English,359,Chicago,No,No,No,No,"September 1, 2019",N/A,N/A,N/A
,Math And The Mona Lisa,Bulent Atalay,Art,No,No,English,282,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,Maya,Charles Gallenkamp,South American History,No,No,English,207,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,The Last Castle,Denise Kiernan,History,No,Yes,English,303,Chicago,Yes,No,No,No,"October 17, 2019",N/A,N/A,N/A
,The Navajo Code Talkers,Doris A. Paul,Native Americans,No,No,English,152,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,On Morality And Society,Emile Durkheim,Anthropology,No,No,English,223,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,Book Of The Hopi,Frank Waters,Native Americans,No,No,English,337,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,Anthropology And Modern Life,Franz Boas,Anthropology,No,No,English,246,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,The Last Empress,Hannah Pakula,China,No,No,English,681,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,The Neandertal Enigma,James Shreeve,Anthropology,No,No,English,342,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,The Chinese,Jasper Becker,China,No,No,English,377,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,The Search For Eve,Micheal H. Brown,Science,No,No,English,318,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,Sex In History,Reay Tannehill,Gender Studies,No,No,English,426,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,Lost Bird Of Wounded Knee,Renee Sansom Flood,Native Americans,No,No,English,305,Chicago,No,No,No,No,"October 17, 2019",N/A,N/A,N/A
,The Wisdom Of The Bones,Alan Walker & Pat Shipman,Anthropology,No,No,English,301,Chicago,No,No,No,No,"November 15, 2019",N/A,N/A,N/A
,Beyond The River,Ann Hagedorn,Civil War,No,No,English,279,Chicago,No,No,No,No,"November 15, 2019",N/A,N/A,N/A
1,The Raw And The Cooked,Claude Levi Strauss,Anthropology,No,No,English,342,Chicago,No,No,No,No,"November 15, 2019",N/A,N/A,N/A
,Mightier Than The Sword,David S. Reynolds,Civil War,No,Yes,English,273,Chicago,Yes,No,No,No,"November 15, 2019",N/A,N/A,N/A
,A Key to Uncle Tom's Cabin,Harriet Beecher Stowe,Civil War,No,No,English,256,Chicago,No,No,No,No,"November 15, 2019",N/A,N/A,N/A
,Cincinnati Landmarks,Steven J. Rolfes,Travel,No,No,English,127,Chicago,No,No,No,No,"December 25, 2019",N/A,N/A,N/A
,House and Home Papers,Harriet Beecher Stowe,Civil War,No,No,English,333,Chicago,No,No,No,No,"January 13, 2020",N/A,N/A,N/A
,A Concise History Of The Civil War,William C. Davis,Civil War,No,No,English,60,Chicago,No,No,No,No,"January 15, 2020",N/A,N/A,N/A
,Delusions of Gender,Cordelia Fine,Gender Studies,No,Yes,English,244,Chicago,Yes,No,No,No,"February 20, 2020",N/A,N/A,N/A
,The Art Of Fullmetal Alchemist,Hiromu Arakawa,TV and movie,No,No,English,95,Chicago,No,No,No,No,"February 20, 2020",N/A,N/A,N/A
,Mao the Unknown Story,Jung Chang,China,No,Yes,English,621,Chicago,Yes,No,No,No,"February 20, 2020",N/A,N/A,N/A
,The Corpse Walker,Liao Yiwu,China,No,No,English,328,Chicago,No,No,No,No,"February 20, 2020",N/A,N/A,N/A
,Heros,Many,TV and movie,No,No,English,270,Chicago,No,No,No,No,"February 20, 2020",N/A,N/A,N/A
,The Math Book,Clifford A. Pickover,Math,No,No,English,516,Chicago,No,No,No,No,"March 1, 2020",N/A,N/A,N/A
,American Battles,Don Troiani,American History,No,No,English,248,Chicago,No,No,No,No,"March 1, 2020",N/A,N/A,N/A
,Works of Mark Twain,Mark Twain,Classic,No,Yes,English,690,Chicago,Yes,No,No,No,"March 1, 2020",N/A,N/A,N/A
,Teach with Your Heart,Erin Gruwell,Memior,No,No,English,265,Chicago,No,No,No,No,"March 31, 2020",N/A,N/A,N/A
,An Actor Prepares,Constantin Stanislavski,Theatre,No,Yes,English,336,Chicago,Yes,No,No,No,"April 25, 2020",N/A,N/A,N/A
,Cincinnati Goes to War,Many,Travel,No,No,English,94,Chicago,No,No,No,No,"April 25, 2020",N/A,N/A,N/A
,God's Red Son,Louis S. Warren,Native Americans,No,No,English,402,Chicago,No,No,No,No,"July 20, 2020",N/A,N/A,N/A
,The Adventures of Henry Thereau,Michael Sims,Biography,No,Yes,English,321,Chicago,Yes,No,No,No,"July 20, 2020",N/A,N/A,N/A
,Oracle Bones,Peter Hessler,China,No,Yes,English,458,Chicago,Yes!,No,No,No,"July 20, 2020",N/A,N/A,N/A
,Difficult Women,Roxane Gay,Gender Studies,No,Yes,English,258,Chicago,Yes,No,No,No,"July 20, 2020",N/A,N/A,N/A
,The Mexican Revolution,Adolfo Gilly,South American History,No,No,English,416,Chicago,No,No,No,No,"October 15, 2020",N/A,N/A,N/A
,The First Emperor Of China,Arthur Cotterell,China,No,No,English,208,Chicago,No,No,No,No,"October 15, 2020",N/A,N/A,N/A
,Return To Dragon Mountain,Jonathan D. Spence,China,No,No,English,332,Chicago,No,No,No,No,"October 15, 2020",N/A,N/A,N/A
,Claude Levi-Strauss,Patrick Wilcken,Anthropology,No,No,English,432,Chicago,No,No,No,No,"October 15, 2020",N/A,N/A,N/A
,The Diligent,Robert Harms,History,No,No,English,496,Chicago,No,No,No,No,"October 15, 2020",N/A,N/A,N/A
7,Merrick,Anne Rice,Fiction,No,Yes,English,370,Chicago,Yes,No,No,No,"November 15, 2020",N/A,N/A,N/A
1,The Countess,Catherine Coulter,Fiction,No,Yes,English,391,Chicago,Yes,No,No,No,"November 15, 2020",N/A,N/A,N/A
,The Massacre At El Mozote,Mark Danner,South American History,No,No,English,320,Chicago,No,No,No,No,"November 15, 2020",N/A,N/A,N/A
,China Wakes,Nicolas D. Kristof & Sheryl Wudunn,China,No,No,English,459,Chicago,No,No,No,No,"January 4, 2021",N/A,N/A,N/A
,The Importance Of Being Ernest,Oscar Wilde,Play,No,Yes,English,76,Chicago,Yes,No,No,No,"January 4, 2021",N/A,N/A,N/A
,Belle,Paula Byrne,History,No,No,English,304,Chicago,No,No,No,No,"January 4, 2021",N/A,N/A,N/A
,Saving Fish From Drowning,Amy Tan,Fiction,No,Yes,English,474,Chicago,Yes,No,No,No,"February 21, 2021",N/A,N/A,N/A
,Coming Of Age In Samoa,Margaret Mead,Anthropology,No,No,English,170,Chicago,No,No,No,No,"May 5, 2021",N/A,N/A,N/A
,American Born Chinese,Gene Luen Yang,Fiction,No,No,English,231,Chicago,No,No,No,No,"May 7, 2021",N/A,N/A,N/A
2,Crooked Kingdom,Leigh Bardugo,Fiction,Yes,Yes,English,536,Chicago,Yes!,No,No,No,"May 7, 2021","October 30, 2022",541,1.482191781
3,Shattered Dance,Caitlin Brennan,Fiction,No,No,English,442,Chicago,No,No,No,No,"June 1, 2021",N/A,N/A,N/A
2,Song Of Unmaking,Caitlin Brennan,Fiction,No,No,English,479,Chicago,No,No,No,No,"June 1, 2021",N/A,N/A,N/A
1,The Mountain's Call,Caitlin Brennan,Fiction,No,No,English,459,Chicago,No,No,No,No,"June 1, 2021",N/A,N/A,N/A
1,Inda,Sherwood Smith,Fiction,No,No,English,612,Chicago,No,No,No,No,"June 1, 2021",N/A,N/A,N/A
2,The Fox,Sherwood Smith,Fiction,No,No,English,772,Chicago,No,No,No,No,"June 1, 2021",N/A,N/A,N/A
3,The King's Shield,Sherwood Smith,Fiction,No,No,English,687,Chicago,No,No,No,No,"June 1, 2021",N/A,N/A,N/A
4,Treason's Shore,Sherwood Smith,Fiction,No,No,English,770,Chicago,No,No,No,No,"June 1, 2021",N/A,N/A,N/A
,Will The Boat Sink In The Water,Chen Guidi & Wu Chuntao,China,No,No,English,219,Chicago,No,No,No,No,"July 7, 2021",N/A,N/A,N/A
1,Silver Phoenix,Cindy Pon,Fiction,No,No,English,338,Chicago,No,No,No,No,"July 7, 2021",N/A,N/A,N/A
1,Serpentine,Cindy Pon,Fiction,No,Yes,English,274,Chicago,Yes,No,No,No,"July 7, 2021",N/A,N/A,N/A
,A Crack In Creation,Jennifer A. Doudna & Samuel H. Sternberg,Science,No,Yes,English,246,Chicago,Yes,No,No,No,"July 7, 2021",N/A,N/A,N/A
,Victorians Undone,Kathryn Hughes,History,No,No,English,365,Chicago,No,No,No,No,"July 20, 2021",N/A,N/A,N/A
,The Ghost Dance Religion And The Sioux Outbreak Of 1890,James Mooney,Native Americans,No,No,English,331,Chicago,No,No,No,No,"September 1, 2021",N/A,N/A,N/A
,Upstairs And Downstairs,Sarah Warwick,TV and movie,No,No,English,125,Chicago,No,No,No,No,"September 1, 2021",N/A,N/A,N/A
,India Calling,Anand Giridharadas,History,No,No,English,254,Chicago,No,No,No,No,"November 9, 2021",N/A,N/A,N/A
,Perfect Nightmare,John Saul,Fiction,No,Yes,English,365,Chicago,Yes,No,No,No,"November 9, 2021",N/A,N/A,N/A
,Counting Coup,Larry Colton,Native Americans,No,No,English,413,Chicago,No,No,No,No,"November 9, 2021",N/A,N/A,N/A
,All That Remains,Sue Black,Death,No,Yes,English,342,Chicago,Yes,No,No,No,"February 1, 2022",N/A,N/A,N/A
,Cries From The Dark Side Of The Moon,Lauren M. White,Poetry,No,No,English,50,Chicago,No,No,No,No,"February 28, 2022",N/A,N/A,N/A
,The Lemon Tree,Sandy Tolan,Modern History,No,Yes,English,270,Chicago,Yes,No,No,No,"March 3, 2022",N/A,N/A,N/A
,Kindred,Rebecca Wragg Sykes,Anthropology,No,Yes,English,386,Chicago,Yes!,No,No,No,"April 7, 2022",N/A,N/A,N/A
,Tempest Tossed,Susan Campbell,Biography,No,No,English,180,Chicago,No,No,No,No,"May 6, 2022",N/A,N/A,N/A
,Black Panther Psychology: Hidden Kingdoms,Travis Langley & Alex Simmons,TV and movie,No,No,English,250,Chicago,No,No,No,No,"May 6, 2022",N/A,N/A,N/A
,The Other Slavery,Andrés Reséndez,Native Americans,No,Yes,English,321,Chicago,Yes,No,No,No,"May 18, 2022",N/A,N/A,N/A
,Fun Home,Alison Bechdel,Fiction,No,No,English,232,Chicago,No,No,No,No,"June 2, 2022",N/A,N/A,N/A
1,The Killing Moon,N.K. Jemisin,Fiction,No,Yes,English,404,Chicago,Yes,No,No,No,"June 7, 2022",N/A,N/A,N/A
,World Of Wonders,Aimee Nezhukumatathil,Memior,Yes,Yes,English,165,Chicago,Yes,No,No,No,"June 19, 2022","November 6, 2022",140,0.3835616438
,The World According To Color,James Fox,Anthropology,No,No,English,226,Chicago,No,No,No,No,"June 27, 2022",N/A,N/A,N/A
,When America First Met China,Eric Jay Dolon,China,No,Yes,English,313,Chicago,Yes,No,No,No,"July 2, 2022",N/A,N/A,N/A
,Lagoon,Nnedi Okorafor,Fiction,No,Yes,English,304,Chicago,Yes,No,No,No,"July 2, 2022",N/A,N/A,N/A
,Black Dog of Fate,Peter Balakian,Memior,No,Yes,English,348,Chicago,Yes,No,No,No,"July 2, 2022",N/A,N/A,N/A
,The Lone Ranger & Tonto Fistfight in Heaven,Sherman Alexie,Fiction,No,No,English,242,Chicago,No,No,No,No,"July 2, 2022",N/A,N/A,N/A
1,Captive Prince,C.S. Pacat,Fiction,No,Yes,English,270,Chicago,Yes,No,No,No,"July 3, 2022",N/A,N/A,N/A
,Oceans Of Grain,Scott Reynolds Nelson,History,No,No,English,277,Chicago,No,No,No,No,"July 13, 2022",N/A,N/A,N/A
,Be Drag Fabulous,Queen Lagrande,Gender Studies,No,No,English,122,Chicago,No,No,No,No,"July 14, 2022",N/A,N/A,N/A
,The Great Moghuls,Bamber Gascoigne,History,No,No,English,247,Chicago,No,No,No,No,"July 18, 2022",N/A,N/A,N/A
,They Poured Fire On Us From The Sky,"Benson Deng, Alephonsion Deng, & Benjamin Ajak",History,No,Yes,English,311,Chicago,Yes,No,No,No,"July 18, 2022",N/A,N/A,N/A
3,The Scum Villain's Self-Saving System Vol 3,Mo Xiang Tong Xiu,MXTX,No,No,English,343,Boston,No,No,No,No,"July 26, 2022",N/A,N/A,N/A
,Battle Hymn Of The Tiger Mother,Amy Chua,China,No,Yes,English,229,Chicago,Yes,No,No,No,"July 28, 2022",N/A,N/A,N/A
,El Greco,Antonina Vallentin,Art,No,No,English,294,Chicago,No,No,No,No,"July 28, 2022",N/A,N/A,N/A
,Tchaikovsy In America,Elkhonin Yoffe,American History,No,No,English,205,Chicago,No,No,No,No,"July 28, 2022",N/A,N/A,N/A
,The Motorcycle Diaries,Ernesto Che Guevara,South American History,No,Yes,English,155,Chicago,Yes,No,No,No,"July 28, 2022",N/A,N/A,N/A
,Flu,Gina Kolata,Science,No,Yes,English,306,Chicago,Yes,No,No,No,"July 28, 2022",N/A,N/A,N/A
,"The Civil War and Reconstruction Era, 1861-1877",Kenneth L. Kusmer,Civil War,No,No,English,431,Chicago,No,No,No,No,"July 28, 2022",N/A,N/A,N/A
,"Sex, Death, And Hierarchy In A Chinese City",William R. Jankowiak,Anthropology,No,No,English,306,Chicago,No,No,No,No,"July 28, 2022",N/A,N/A,N/A
,The Valley Of Amazement,Amy Tan,Fiction,No,Yes,English,589,Chicago,Yes,No,No,No,"July 30, 2022",N/A,N/A,N/A
,Bloody Mary,Carolly Erickson,History,No,Yes,English,484,Chicago,Yes,No,No,No,"July 30, 2022",N/A,N/A,N/A
,Mrs. Lincoln And Mrs. Keckly,Jennifer Fleischner,Civil War,No,No,English,325,Chicago,No,No,No,No,"July 30, 2022",N/A,N/A,N/A
,Emperor Of China,Jonathan D. Spence,China,No,No,English,175,Chicago,No,No,No,No,"July 30, 2022",N/A,N/A,N/A
1,Tales From The Mos Eisley Cantina,Kevin J. Anderson,TV and movie,No,No,English,380,Chicago,No,No,No,No,"July 30, 2022",N/A,N/A,N/A
5,A Secret Affair,Mary Balogh,Fiction,No,Yes,English,368,Chicago,Yes,No,No,No,"July 30, 2022",N/A,N/A,N/A
,Fidel Castro,Robert E. Quirk,South American History,No,No,English,840,Chicago,No,No,No,No,"July 30, 2022",N/A,N/A,N/A
,Empress,Shan Sa,Fiction,No,No,English,319,Chicago,No,No,No,No,"July 30, 2022",N/A,N/A,N/A
,The Broken Spears,Miguel León-Portilla,South American History,No,No,English,192,Boston,No,No,No,No,"August 4, 2022",N/A,N/A,N/A
,The Shattered Gates,Ginn Hale,Fiction,No,No,English,341,Boston,No,No,No,No,"August 10, 2022",N/A,N/A,N/A
4,Heaven Official's Blessing Vol 4,Mo Xiang Tong Xiu,MXTX,No,No,English,368,Boston,No,No,No,No,"September 27, 2022",N/A,N/A,N/A
,The Woman Warrior,Maxine Hong Kingston,Memior,No,Yes,English,209,Boston,Yes,No,No,No,"October 1, 2022",N/A,N/A,N/A
,Santa Anna Of Mexico,Will Fowler,History,No,No,English,368,Boston,No,No,No,No,"October 1, 2022",N/A,N/A,N/A
2,Adulthood Rites,Octavia E. Butler,Fiction,No,Yes,English,302,Boston,Yes,No,No,No,"October 5, 2022",N/A,N/A,N/A
,Glass,Alan Macfarlane & Gerry Martin,History,No,No,English,203,Chicago,No,No,No,No,,N/A,N/A,N/A
,Project Hail Mary,Andy Weir,Fiction,No,Yes,English,476,Boston,Yes!,No,No,No,,N/A,N/A,N/A
,Abraham Lincoln,Benjamin P. Thomas,Civil War,No,No,English,522,Chicago,No,No,No,No,,N/A,N/A,N/A
,Lincoln The Unknown,Dale Carnegie,Civil War,No,No,English,253,Chicago,No,No,No,No,,N/A,N/A,N/A
